Category ID	Category Name	Number	Name


398	Human Furniture / Educational & Dacta	0011	Laminate Playtable Cover (Large Laminate Table Cover/Laminated Table Cover)
398	Human Furniture / Educational & Dacta	0920	Flip-Top Playtable Red DUPLO/Gray LEGO Top
398	Human Furniture / Educational & Dacta	0921	Flip-top Playtable Green DUPLO/Gray LEGO Top
398	Human Furniture / Educational & Dacta	9805	Duplo Play Wall (2nd Release)
398	Human Furniture / Educational & Dacta	9806	Playtable, 4 chairs, and 92 Duplo bricks
398	Human Furniture / Educational & Dacta	9807	Legehus og Legebord (LEGO House)
712	Video Game / Creator	5700	Creator - PC CD-ROM
712	Video Game / Train	5701	Loco - PC CD-ROM
712	Video Game	5702	Chess - PC CD-ROM
712	Video Game / Racers	5703	Racers - Nintendo 64
712	Video Game / Racers	5704	Racers - PC CD-ROM
712	Video Game / Racers	5705	Racers - Sony PlayStation
712	Video Game	5706	LEGOLAND - PC CD-ROM
712	Video Game	5707	Friends PC CD-ROM
712	Video Game / Rock Raiders	5708	Rock Raiders - PC CD-ROM
712	Video Game / Rock Raiders	5709	Rock Raiders - Sony PlayStation
712	Video Game	5712	Stunt Rally - PC CD-ROM
712	Video Game / Alpha Team	5714	Alpha Team - PC CD-ROM
712	Video Game	5715	My World - First Steps
712	Video Game	5716	My World - School Skills
712	Video Game / Racers	5719	Racers - Nintendo Game Boy Color
712	Video Game / Creator	5720	Creator Masterpiece
712	Video Game / Train	5721	Loco Masterpiece - PC CD-ROM
712	Video Game	5722	Chess Masterpiece
712	Video Game / Castle / Knights Kingdom I	5723	Creator: Knights' Kingdom - PC CD-ROM
712	Video Game	5724	Stunt Rally - Nintendo Game Boy Color
712	Video Game / Alpha Team	5725	Alpha Team - Nintendo Game Boy Color
180	Software / MINDSTORMS / RCX	3805-1	Robotics Invention System Upgrade Kit (2.0)
712	Video Game	5730	Island 2: The Brickster's Revenge - Nintendo Game Boy Color
712	Video Game	5774	Island 2: The Brickster's Revenge - PC CD-ROM
712	Video Game	5775	Island 2: The Brickster's Revenge - Sony PlayStation
712	Video Game	5777	Island 2: The Brickster's Revenge - Nintendo Game Boy Advance
712	Video Game / Racers	5778	Racers 2 - PC CD-ROM
712	Video Game / Racers	5779	Racers 2 - Sony PS2
712	Video Game / Racers	5780	Racers 2 - Nintendo Game Boy Advance
712	Video Game / BIONICLE	5781	BIONICLE: The Legend of Mata Nui - PC CD-ROM
712	Video Game / BIONICLE	5782	BIONICLE: Tales of the Tohunga - Nintendo Game Boy Advance
712	Video Game / Creator / Harry Potter	5787	Creator: Harry Potter - PC CD-ROM
241	Pen	P1515	Classic Pen Series 1
241	Pen	P1516	Decoder Pen Series 1
241	Pen	P1517	Hieroglyph Pen Series 1
241	Pen / Racers	P1518	Race Pen Series 1
241	Pen / Sports	P1519	Sport Pen Series 1
241	Pen / Adventurers	P1520	Adventure Pen Series 1
241	Pen / Sports / Soccer	P1522	Soccer Pen Series 2
241	Pen / Town / Arctic	P1523	Arctic Pen Series 2
241	Pen / Adventurers / Dino Island	P1524	Dino Island Pen Series 2
241	Pen	P1525	World Pen Series 2
241	Pen / BIONICLE	P1701	BIONICLE Pen Pack Gali
