ITEM ID,ITEM NAME,ITEM COLOR,QUANTITY
87611,Aircraft Fuselage Forward Bottom Curved 6 x 10 with 3 Holes,Reddish Brown,2
6026c01,Alligator / Crocodile with 8 Teeth,Green,1
3957b,Antenna 4H - Flat Top,Black,2
3957b,Antenna 4H - Flat Top,Blue,2
3957b,Antenna 4H - Flat Top,Light Bluish Gray,4
3957b,Antenna 4H - Flat Top,Reddish Brown,8
3957b,Antenna 4H - Flat Top,Trans-Clear,3
3957b,Antenna 4H - Flat Top,White,6
4592c02,Antenna Small Base with Black Lever &#40;4592 / 4593&#41;,Black,17
4592c02,Antenna Small Base with Black Lever &#40;4592 / 4593&#41;,Light Bluish Gray,4
4592c02,Antenna Small Base with Black Lever &#40;4592 / 4593&#41;,Red,3
4592c02,Antenna Small Base with Black Lever &#40;4592 / 4593&#41;,White,1
4592c02,Antenna Small Base with Black Lever &#40;4592 / 4593&#41;,Yellow,3
2569,Antenna Whip 8H,Black,2
24204,"Appendage Bladed with Pin &#40;Tail, Plant Limb&#41;",Reddish Brown,1
33051,Apple,Bright Green,1
33051,Apple,Red,3
38585,Arch 1 1/2 x 1 1/2 Corner,Tan,18
78666,Arch 1 x 2 Inverted,Bright Green,2
78666,Arch 1 x 2 Inverted,Dark Turquoise,2
78666,Arch 1 x 2 Inverted,Orange,2
78666,Arch 1 x 2 Inverted,White,2
38583,Arch 1 x 2 Jumper,Dark Bluish Gray,1
38583,Arch 1 x 2 Jumper,White,1
4490,Arch 1 x 3,Dark Bluish Gray,1
70681,Arch 1 x 3 Inverted,Black,8
70681,Arch 1 x 3 Inverted,Light Bluish Gray,12
70681,Arch 1 x 3 Inverted,Tan,7
6005,Arch 1 x 3 x 2 Curved Top,Black,1
6005,Arch 1 x 3 x 2 Curved Top,Dark Bluish Gray,6
6005,Arch 1 x 3 x 2 Curved Top,Green,2
6005,Arch 1 x 3 x 2 Curved Top,Reddish Brown,4
6005,Arch 1 x 3 x 2 Curved Top,Yellow,2
18653,Arch 1 x 3 x 2 Inverted,Dark Blue,4
18653,Arch 1 x 3 x 2 Inverted,Dark Bluish Gray,4
18653,Arch 1 x 3 x 2 Inverted,Dark Turquoise,2
18653,Arch 1 x 3 x 2 Inverted,Medium Nougat,2
18653,Arch 1 x 3 x 2 Inverted,Reddish Brown,2
18653,Arch 1 x 3 x 2 Inverted,Tan,2
18653,Arch 1 x 3 x 2 Inverted,White,6
88292,Arch 1 x 3 x 2 with Curved End,Black,1
88292,Arch 1 x 3 x 2 with Curved End,Medium Nougat,5
88292,Arch 1 x 3 x 2 with Curved End,Reddish Brown,4
88292,Arch 1 x 3 x 2 with Curved End,Tan,2
88292,Arch 1 x 3 x 2 with Curved End,White,12
13965,Arch 1 x 3 x 3,Dark Turquoise,2
13965,Arch 1 x 3 x 3,Reddish Brown,34
13965,Arch 1 x 3 x 3,Tan,4
13965,Arch 1 x 3 x 3,White,4
3659,Arch 1 x 4,Dark Brown,8
3659,Arch 1 x 4,Dark Purple,4
3659,Arch 1 x 4,Dark Turquoise,2
3659,Arch 1 x 4,Light Bluish Gray,3
3659,Arch 1 x 4,Red,4
3659,Arch 1 x 4,Reddish Brown,5
3659,Arch 1 x 4,Tan,13
3659,Arch 1 x 4,White,2
6182,Arch 1 x 4 x 2,Bright Light Yellow,5
6182,Arch 1 x 4 x 2,Light Aqua,1
6182,Arch 1 x 4 x 2,Medium Nougat,4
6182,Arch 1 x 4 x 2,Tan,1
6182,Arch 1 x 4 x 2,White,2
2339,Arch 1 x 5 x 4 - Continuous Bow,Reddish Brown,6
2339,Arch 1 x 5 x 4 - Continuous Bow,Tan,6
2339,Arch 1 x 5 x 4 - Continuous Bow,White,2
30099,Arch 1 x 5 x 4 Inverted,Dark Blue,2
92950,Arch 1 x 6 Raised Arch,Blue,1
92950,Arch 1 x 6 Raised Arch,Dark Bluish Gray,1
92950,Arch 1 x 6 Raised Arch,Reddish Brown,6
92950,Arch 1 x 6 Raised Arch,White,7
15254,Arch 1 x 6 x 2 - Medium Thick Top without Reinforced Underside,Bright Light Orange,1
15254,Arch 1 x 6 x 2 - Medium Thick Top without Reinforced Underside,Dark Blue,1
15254,Arch 1 x 6 x 2 - Medium Thick Top without Reinforced Underside,Tan,2
6183,Arch 1 x 6 x 2 Curved Top,Dark Turquoise,2
6183,Arch 1 x 6 x 2 Curved Top,White,3
6060,Arch 1 x 6 x 3 1/3 Curved Top,Dark Pink,2
6060,Arch 1 x 6 x 3 1/3 Curved Top,White,2
3308,Arch 1 x 8 x 2,White,2
16577,Arch 1 x 8 x 2 Raised,Tan,1
16577,Arch 1 x 8 x 2 Raised,White,2
28660,Arm and Hand Short with Pin - Vertical Grip,Lavender,2
30377,"Arm Mechanical, Battle Droid",Black,14
30377,"Arm Mechanical, Battle Droid",Light Bluish Gray,1
30377,"Arm Mechanical, Battle Droid",White,4
98313,"Arm Mechanical, Exo-Force / Bionicle, Thick Support",Black,2
98313,"Arm Mechanical, Exo-Force / Bionicle, Thick Support",Flat Silver,2
98313,"Arm Mechanical, Exo-Force / Bionicle, Thick Support",White,2
93609,"Arm Skeleton, Bent with Clips &#40;Horizontal Grip&#41;",Black,1
93609,"Arm Skeleton, Bent with Clips &#40;Horizontal Grip&#41;",White,4
x45,"Ball, Sports Soccer Plain",Orange,2
x45,"Ball, Sports Soccer Plain",White,1
33085,Banana,Yellow,4
32828,Bar   1L with 1 x 1 Round Plate with Hollow Stud,Black,23
32828,Bar   1L with 1 x 1 Round Plate with Hollow Stud,Bright Light Yellow,2
32828,Bar   1L with 1 x 1 Round Plate with Hollow Stud,Light Bluish Gray,9
32828,Bar   1L with 1 x 1 Round Plate with Hollow Stud,Pearl Gold,5
32828,Bar   1L with 1 x 1 Round Plate with Hollow Stud,Reddish Brown,10
32828,Bar   1L with 1 x 1 Round Plate with Hollow Stud,Tan,4
65578,Bar   1L with Angled Hollow Stud,Light Bluish Gray,2
65578,Bar   1L with Angled Hollow Stud,Trans-Clear,9
48729b,Bar   1L with Clip Mechanical Claw - Cut Edges and Hole on Side,Black,43
48729b,Bar   1L with Clip Mechanical Claw - Cut Edges and Hole on Side,Dark Bluish Gray,4
48729b,Bar   1L with Clip Mechanical Claw - Cut Edges and Hole on Side,Light Bluish Gray,13
48729b,Bar   1L with Clip Mechanical Claw - Cut Edges and Hole on Side,Reddish Brown,30
22484,Bar   1L with Tow Ball,Dark Bluish Gray,4
78258,Bar   2L with Stop Ring,Dark Bluish Gray,3
87994,Bar   3L &#40;Bar Arrow&#41;,Black,17
87994,Bar   3L &#40;Bar Arrow&#41;,Bright Green,4
87994,Bar   3L &#40;Bar Arrow&#41;,Dark Bluish Gray,6
87994,Bar   3L &#40;Bar Arrow&#41;,Pearl Gold,5
87994,Bar   3L &#40;Bar Arrow&#41;,Reddish Brown,15
87994,Bar   3L &#40;Bar Arrow&#41;,White,9
30374,Bar   4L &#40;Lightsaber Blade / Wand&#41;,Black,25
30374,Bar   4L &#40;Lightsaber Blade / Wand&#41;,Light Bluish Gray,25
30374,Bar   4L &#40;Lightsaber Blade / Wand&#41;,Reddish Brown,23
30374,Bar   4L &#40;Lightsaber Blade / Wand&#41;,Trans-Light Blue,9
30374,Bar   4L &#40;Lightsaber Blade / Wand&#41;,White,12
87618,Bar   5L with Handle &#40;Friction Ram&#41;,Black,5
87618,Bar   5L with Handle &#40;Friction Ram&#41;,Light Bluish Gray,3
87618,Bar   5L with Handle &#40;Friction Ram&#41;,Reddish Brown,2
63965,Bar   6L with Stop Ring,Black,19
63965,Bar   6L with Stop Ring,Light Bluish Gray,7
63965,Bar   6L with Stop Ring,Red,3
63965,Bar   6L with Stop Ring,Reddish Brown,8
63965,Bar   6L with Stop Ring,White,5
2714b,"Bar   8L with Stop Rings and Pin &#40;Technic, Figure Accessory Ski Pole&#41; - Flat End",Black,7
476,"Bar  12L with Open Stud, Tow Ball, and Slit &#40;Boat Mast&#41;",Black,1
6190,Bar 1 x 3 with 2 Stud Receptacles &#40;Radio Handle / Telephone Handset&#41;,Black,2
4735,Bar 1 x 3 with Clip and Stud Holder &#40;Robot Arm&#41;,Black,3
62113,Bar 1 x 4 x 3 Grille with End Protrusions,Black,1
62113,Bar 1 x 4 x 3 Grille with End Protrusions,Dark Azure,1
62113,Bar 1 x 4 x 3 Grille with End Protrusions,Dark Bluish Gray,5
6140,Bar 1 x 6 with Hollow Studs,Light Bluish Gray,1
2566,Bar 1.2L with Top Stud and 4 Bar Arms Up &#40;Palm Tree Top&#41;,Tan,6
6020,Bar 7 x 3 with 2 U Clips &#40;Ladder&#41;,Black,3
6020,Bar 7 x 3 with 2 U Clips &#40;Ladder&#41;,Reddish Brown,1
30095,Bar 7 x 3 with 4 Clips &#40;Ladder&#41;,Dark Bluish Gray,4
11090,Bar Holder with Clip,Black,6
11090,Bar Holder with Clip,Pearl Gold,2
11090,Bar Holder with Clip,Reddish Brown,46
11090,Bar Holder with Clip,Yellow,6
72869,Bar Holder with Clip Angled &#40;Arm Mechanical&#41;,Black,1
23443,Bar Holder with Handle,Black,9
23443,Bar Holder with Handle,Reddish Brown,30
58176,Bar with Light Cover &#40;Bulb&#41; / Bionicle Barraki Eye,Trans-Orange,2
87747,Barb / Claw / Horn / Tooth - Medium,White,4
53451,Barb / Claw / Horn / Tooth - Small,Black,3
53451,Barb / Claw / Horn / Tooth - Small,Orange,2
53451,Barb / Claw / Horn / Tooth - Small,White,2
53451,Barb / Claw / Horn / Tooth - Small,Yellow,2
3857,Baseplate 16 x 32,Dark Bluish Gray,3
3857,Baseplate 16 x 32,Green,3
3811,Baseplate 32 x 32,Blue,1
3811,Baseplate 32 x 32,Bright Green,11
3811,Baseplate 32 x 32,Dark Bluish Gray,1
44343px3,"Baseplate, Road 32 x 32 6-Stud Crossroad with White Dashed Lines and Crosswalks Pattern",Dark Bluish Gray,3
44342px2,"Baseplate, Road 32 x 32 6-Stud Curve with White Dashed Lines Pattern",Dark Bluish Gray,2
44336px4,"Baseplate, Road 32 x 32 6-Stud Straight with White Dashed Lines and Storm Drain Pattern",Dark Bluish Gray,3
44341px2,"Baseplate, Road 32 x 32 6-Stud T Intersection with White Dashed Lines and Crosswalk Pattern",Dark Bluish Gray,2
4719,Bicycle Frame with Handlebars,Green,2
4719,Bicycle Frame with Handlebars,Red,2
98388pb04,"Bird, Mini Doll Style with Magenta Beak and Black Eyes and Feathers Pattern &#40;Elves Pluma&#41;",White,1
35074pb03,"Bird, Mini Doll Style, Feet Joined with Molded Dark Blue Beak, Feathers and Toes and Printed Medium Nougat Eyes with Eyelashes and Bright Light Blue Eye Patches Pattern &#40;Friends Cinnamon / Mimi&#41;",Dark Blue,1
27063pb02,"Bird, Parrot with Large Beak with Marbled Red Pattern",Green,1
2546p02,"Bird, Parrot with Small Beak with Marbled Red Pattern",Green,1
41835pb01,"Bird, Small with Black Eyes and Bright Light Orange Beak Pattern",Dark Azure,1
41835pb01,"Bird, Small with Black Eyes and Bright Light Orange Beak Pattern",White,1
29110,"Boat, Kayak",Red,1
4790b,"Boat, Ship's Wheel with Slots in Pin",Reddish Brown,1
93160,"Bone, Short",White,2
66821,Bracelet with 2 x 14 Studs and 5 Holes,Black,1
36841,Bracket 1 x 1 - 1 x 1,Black,3
36841,Bracket 1 x 1 - 1 x 1,Dark Blue,2
36841,Bracket 1 x 1 - 1 x 1,Dark Orange,4
36841,Bracket 1 x 1 - 1 x 1,White,3
